date,portfolio_value_EUR,benchmark_value_EUR,portfolio_index,benchmark_index
2025-07-14,210913.08510684967,223.14999389648438,100.0,100.0
2025-07-15,211315.49643993378,224.60000610351562,100.19079486361892,100.64979262679428
2025-07-16,209505.81515693665,221.3000030517578,99.33277257349864,99.17096531690484
2025-07-17,212389.17652225494,225.89999389648438,100.69985767580872,101.23235495192336
2025-07-18,211735.82762145996,225.0500030517578,100.3900860461993,100.8514493422549
2025-07-21,212406.31802082062,225.35000610351562,100.70798495655899,100.98588943186428
2025-07-22,211762.0375175476,223.85000610351562,100.40251291676279,100.31369582172427
2025-07-23,213235.25131130219,225.8000030517578,101.10100622883407,101.18754614732491
2025-07-24,213130.6473751068,226.25,101.05141047419306,101.3892028627855
2025-07-25,213179.5367679596,226.5500030517578,101.07459035078917,101.52364295239491
2025-07-28,213882.02922153473,228.4499969482422,101.40766236157465,102.37508545674278
2025-07-29,214835.42306232452,229.35000610351562,101.8596939841299,102.77840572557099
2025-07-30,215374.12930583954,230.39999389648438,102.11511021079127,103.2489357823434
2025-07-31,215106.6062822342,230.89999389648438,101.98826979997948,103.47300031905675
2025-08-01,211474.89157485962,224.1999969482422,100.2663687118916,100.47053689467941
2025-08-04,213531.82851219177,226.6999969482422,101.24162206627219,101.5908595782461
2025-08-05,213764.43375587463,226.3000030517578,101.35190694668397,101.41161068403824
2025-08-06,214000.26318836212,226.75,101.46372050835464,101.61326739949882
2025-08-07,214772.62922382355,227.39999389648438,101.82992160729081,101.90454856206337
2025-08-08,214990.10556316376,227.89999389648438,101.93303343614201,102.12861309877673
2025-08-11,215808.85268115997,229.14999389648438,102.32122514913196,102.68877444056005
2025-08-12,215655.0360813141,229.35000610351562,102.24829624585033,102.77840572557099
2025-08-13,216340.84710788727,229.89999389648438,102.5734591091339,103.02487124563007
2025-08-14,216772.5658082962,230.8000030517578,102.7781494441078,103.42819151445828
2025-08-15,216573.54379463196,230.0500030517578,102.68378734534875,103.09209470938828
2025-08-18,216756.4057779312,230.5,102.77048750584692,103.29375142484886
2025-08-19,216818.83641433716,230.4499969482422,102.80008767805735,103.27134360359614
2025-08-20,216489.9374742508,229.25,102.64414716828776,102.73359008306554
2025-08-21,217148.23826503754,230.1999969482422,102.95626663230928,103.15931133523948
2025-08-22,218387.66845226288,231.60000610351562,103.5439163680274,103.78669614078102
2025-08-25,217882.884226799,231.39999389648438,103.30458355223358,103.69706485577008
2025-08-26,217796.5944852829,230.89999389648438,103.26367108752214,103.47300031905675
2025-08-27,218575.00896549225,232.4499969482422,103.63273992922772,104.16760175044948
2025-08-28,218258.07213497162,231.8000030517578,103.48247100192998,103.87632058788496
2025-08-29,217413.0882177353,230.10000610351562,103.08183966281308,103.114502530641
2025-09-01,218421.0770187378,230.64999389648438,103.55975633663721,103.36096805070008
2025-09-02,216723.74877643585,228.10000610351562,102.7550038759532,102.21824438378766
2025-09-03,217762.87404727936,229.89999389648438,103.2476832515913,103.02487124563007
2025-09-04,218529.21349143982,231.39999389648438,103.61102696910996,103.69706485577008
2025-09-05,218226.39646053314,230.0500030517578,103.46745264760531,103.09209470938828
2025-09-08,219412.7039422989,231.60000610351562,104.02991537065766,103.78669614078102
2025-09-09,219404.86574554443,231.75,104.02619905464508,103.85391276663223
2025-09-10,220406.70076465607,233.4499969482422,104.50119804231059,104.61573082387616
2025-09-11,221680.94643878937,234.9499969482422,105.10535480834898,105.28792443401618
2025-09-12,221677.49102783203,235.0,105.10371649797312,105.31033225526892
2025-09-15,221976.93094921112,235.1999969482422,105.24568963407673,105.39995670237286
2025-09-16,220379.72740650177,233.4499969482422,104.4884091922776,104.61573082387616
2025-09-17,220362.3221282959,233.64999389648438,104.48015684596297,104.7053552709801
2025-09-18,221682.1378850937,235.89999389648438,105.10591970753657,105.71364568619013
2025-09-19,222477.68731307983,236.39999389648438,105.48311272407373,105.93771022290346
2025-09-22,222952.32549095154,236.75,105.70815242591645,106.0945581337656
2025-09-23,223661.10349178314,237.10000610351562,106.04420459663528,106.25140604462773
2025-09-24,223124.41668510437,236.64999389648438,105.78974584344465,106.04974249126013
2025-09-25,223087.96618175507,236.35000610351562,105.7724636044926,105.91530923955771
2025-09-26,223467.58902931213,236.35000610351562,105.95245378735146,105.91530923955771
2025-09-29,224137.42862987518,237.1999969482422,106.27004413515928,106.2962148492262
2025-09-30,223940.33718967438,236.9499969482422,106.17659737717318,106.18418258086952
2025-10-01,225602.1794605255,238.6999969482422,106.96452491140333,106.96840845936622
2025-10-02,225648.79438591003,239.64999389648438,106.9866263971224,107.39412971154016
2025-10-03,226992.38412857056,240.8000030517578,107.62366119369742,107.90948224872503
2025-10-06,228077.94653606415,241.64999389648438,108.13835776026825,108.29038785839352
2025-10-07,227262.01155853271,241.25,107.75149936448969,108.11113896418564
2025-10-08,229121.25759029388,243.39999389648438,108.63302173699647,109.0746137368902
2025-10-09,228752.13116455078,243.5500030517578,108.4580082116118,109.14183720064841
2025-10-10,225233.4518995285,238.25,106.78970049934269,106.76675174390562
2025-10-13,227329.22473621368,240.60000610351562,107.78336707798262,107.81985780162111
2025-10-14,226885.22746181488,239.4499969482422,107.57285511559115,107.30450526443622
2025-10-15,228347.49595737457,240.8000030517578,108.26615894490024,107.90948224872503
2025-10-16,228970.91894626617,240.8000030517578,108.56174183326195,107.90948224872503
2025-10-17,225941.1023130417,238.0500030517578,107.12521804826795,106.67712729680167
2025-10-20,228936.9083032608,242.5500030517578,108.54561640273772,108.69370812722173
2025-10-21,227723.0657863617,243.35000610351562,107.97009852233492,109.05221275354447
2025-10-22,226758.3275642395,242.10000610351562,107.51268820014772,108.49205141176112
2025-10-23,227922.80397891998,243.1999969482422,108.06480018224241,108.98498928978626
2025-10-24,231549.72697544098,243.1999969482422,109.78442938148511,108.98498928978626
2025-10-27,228902.86896038055,246.75,108.52947736477192,110.57584886803235
2025-10-28,229183.84407615662,247.0,108.66269580194651,110.68788113638904
2025-10-29,229580.9595117569,247.75,108.85097972724166,111.02397794145904
2025-10-30,230090.66067886353,247.89999389648438,109.09264380742351,111.09119456731025
2025-10-31,229676.11375141144,247.75,108.89609510716527,111.02397794145904
2025-11-03,229730.96289634705,248.10000610351562,108.92210067477043,111.18082585232119
2025-11-04,228916.44920253754,247.10000610351562,108.53591615075342,110.7326967788945
2025-11-05,229217.5733165741,247.4499969482422,108.67868781135664,110.88953785184962
2025-11-06,227334.4299955368,243.8000030517578,107.78583504213026,109.25386946900505
2025-11-07,225663.33473873138,240.8000030517578,106.99352039936696,107.90948224872503
2025-11-10,229640.38175296783,245.64999389648438,108.87915353219115,110.08290415210023
2025-11-11,230337.09626483917,246.5500030517578,109.20948605353205,110.48622442092844
2025-11-12,232056.8855524063,247.75,110.02488794606798,111.02397794145904
2025-11-13,229980.64603233337,244.5,109.04048267836201,109.56755845282234
2025-11-14,229582.9199371338,244.25,108.85190922167105,109.45552618446568
2025-11-17,228752.45145988464,243.14999389648438,108.45816007290277,108.96258146853353
2025-11-18,226331.00109481812,240.0,107.31008034904883,107.55097762240229
2025-11-19,226847.9489364624,240.4499969482422,107.55518028743454,107.7526343378629
2025-11-20,227339.281334877,241.9499969482422,107.78813520256733,108.42482794800293
2025-11-21,225600.6346282959,239.4499969482422,106.96379246171732,107.30450526443622
2025-11-24,227865.43736076355,242.3000030517578,108.03760100769743,108.58167585886504
2025-11-25,228353.9460067749,242.6999969482422,108.2692171000626,108.76092475307293
2025-11-26,230711.23950576782,245.60000610351562,109.38687819624293,110.06050316875448
2025-11-27,230662.8481054306,245.35000610351562,109.36393443231634,109.94847090039781
2025-11-28,231838.21411323547,246.39999389648438,109.92120948578655,110.41900095717023
2025-12-01,231238.99482440948,245.3000030517578,109.63710227237091,109.92606307914508
2025-12-02,230606.00440883636,245.35000610351562,109.33698319002359,109.94847090039781
2025-12-03,230656.16620731354,245.25,109.36076635096485,109.90365525789234
2025-12-04,231235.09646701813,246.0500030517578,109.63525394826652,110.26215988421508
2025-12-05,231788.02550506592,247.10000610351562,109.89741361359391,110.7326967788945
2025-12-08,231473.66972446442,246.60000610351562,109.74836843678932,110.50863224218116
2025-12-09,231898.02981185913,246.8000030517578,109.94956984028677,110.5982566892851
2025-12-10,231476.25387096405,246.25,109.74959365546096,110.35178433131902
2025-12-11,231936.87592697144,245.1999969482422,109.96798790813334,109.88124743663961
2025-12-12,230542.59648036957,243.6999969482422,109.30691965535257,109.2090538264996
2025-12-15,230732.684551239,244.0500030517578,109.3970459131773,109.36590173736174
2025-12-16,229549.04103851318,242.10000610351562,108.83584625497392,108.49205141176112
2025-12-17,228907.95653438568,241.35000610351562,108.53188953090307,108.15595460669113
2025-12-18,231149.5909051895,244.0500030517578,109.59471328584848,109.36590173736174
2025-12-19,232239.02822971344,245.1999969482422,110.11124706276993,109.88124743663961
2025-12-22,232973.73282051086,245.89999389648438,110.45959178041758,110.19493642045688
2025-12-23,233089.12666511536,246.35000610351562,110.51430334302455,110.3965999738245
2025-12-29,232884.28906345367,246.9499969482422,110.41718390562316,110.6654733151363
2025-12-30,233658.0958032608,247.5500030517578,110.78406808420085,110.9343534943551
2026-01-02,232342.51090049744,247.0,110.16031119301655,110.68788113638904
2026-01-05,235580.18892478943,250.35000610351562,111.6953880815139,112.18911626753119
2026-01-06,236762.28612327576,251.35000610351562,112.25585458736747,112.63724534095788
2026-01-07,236999.89196395874,251.89999389648438,112.36851039559417,112.88371086101694
2026-01-08,236830.3422718048,251.35000610351562,112.28812197774516,112.63724534095788
2026-01-09,238807.34956169128,253.4499969482422,113.22547837215042,113.57831229240969
2026-01-12,239947.28655433655,253.64999389648438,113.76595550379342,113.66793673951364
2026-01-13,240107.37119102478,254.0500030517578,113.84185626481407,113.84719247162849
2026-01-14,239438.78485298157,252.60000610351562,113.52486012505135,113.1974066827412
2026-01-15,241641.21466255188,255.75,114.56909586246637,114.60901052887245
2026-01-16,241157.003824234,255.1999969482422,114.3395174851587,114.36253817090638
2026-01-19,239895.945854187,251.9499969482422,113.74161339143774,112.90611868226968
2026-01-20,238889.13870429993,249.6999969482422,113.26425697261857,111.89782826705965
2026-01-21,239420.7058429718,250.0500030517578,113.51628834298262,112.05467617792179
2026-01-22,241207.43912506104,251.75,114.36343032148247,112.81649423516573
2026-01-23,240984.42404174805,251.3000030517578,114.25769241375616,112.61483751970513
2026-01-26,241377.52711868286,250.39999389648438,114.4440739636423,112.21151725087692
2026-01-27,240637.7177028656,250.3000030517578,114.09330890065796,112.16670844627845
2026-01-28,241667.96443748474,250.75,114.5817787052209,112.36836516173906
2026-01-29,239420.28376197815,248.75,113.51608822216346,111.47210701488572
2026-01-30,238613.19499969482,250.39999389648438,113.13342407314944,112.21151725087692
2026-02-02,239221.6431274414,252.60000610351562,113.42190694629043,113.1974066827412
2026-02-03,240079.31950759888,251.9499969482422,113.82855614955014,112.90611868226968
2026-02-04,239458.7563419342,251.14999389648438,113.53432918617787,112.54761405594694
2026-02-05,237680.4819908142,248.9499969482422,112.69119783175331,111.56173146198964
2026-02-06,240060.21702957153,251.39999389648438,113.81949911166286,112.65964632430361
2026-02-09,241980.32641983032,252.75,114.72987856454797,113.26462330859242
2026-02-10,242905.75672149658,253.1999969482422,115.16865186360499,113.466280024053
2026-02-11,243671.45400238037,253.39999389648438,115.53169111292225,113.55590447115695
2026-02-12,242021.70985031128,251.3000030517578,114.74949964707113,112.61483751970513
2026-02-13,242609.20711135864,250.89999389648438,115.02804910774103,112.43558178759025
2026-02-16,242428.74251174927,250.6999969482422,114.94248561625923,112.34595734048634
2026-02-17,242067.35984802246,251.14999389648438,114.77114363264369,112.54761405594694
2026-02-18,244646.88247680664,254.0500030517578,115.99416999323073,113.84719247162849
2026-02-19,244621.8738861084,253.60000610351562,115.98231269633257,113.64553575616789
2026-02-20,245472.4203262329,254.89999389648438,116.38558138859678,114.22809808129696
2026-02-23,245073.43624687195,253.0,116.19641148519375,113.37665557694909
2026-02-24,246268.78101730347,254.35000610351562,116.76315904844994,113.9816325612379
2026-02-25,248251.20706748962,256.3999938964844,117.70308463399711,114.90029169143699
2026-02-26,247913.05613708496,255.64999389648438,117.54275748775423,114.56419488636698
2026-02-27,247953.29445648193,254.60000610351562,117.56183563995923,114.09366482959457
2026-03-02,247904.76113891602,255.0,117.53882458896572,114.27291372380243
2026-03-03,243576.49019241333,251.0500030517578,115.48666602122681,112.50280525134846
2026-03-04,245419.93316841125,253.8000030517578,116.36069570746652,113.73516020327183
2026-03-05,243088.3203907013,252.1999969482422,115.25521058475414,113.01815095062635
2026-03-06,242865.71586799622,252.1999969482422,115.14966733569858,113.01815095062635
2026-03-09,242115.43294906616,252.1999969482422,114.79393648165983,113.01815095062635
2026-03-10,244030.08024406433,252.1999969482422,115.7017261970434,113.01815095062635
2026-03-11,242924.35402297974,252.1999969482422,115.1774693826668,113.01815095062635
2026-03-12,242851.7756614685,252.1999969482422,115.14305788018724,113.01815095062635
2026-03-13,240501.1835079193,249.39999389648438,114.02857408589901,111.76338817745024
